look_back,neighbors,test_size,hmax,R2_true_pos
1,1,0.2,2,0.9984816645671749
1,1,0.2,3,0.9841864369290085
1,1,0.2,7,-1.8628151816069538
1,1,0.4,2,0.9986265025891502
1,1,0.4,3,0.9719453698417008
1,1,0.4,7,-2.141671324956903
1,3,0.2,2,0.9908465481880967
1,3,0.2,3,0.9792374433152143
1,3,0.2,7,-1.6451126760722592
1,3,0.4,2,0.9856339122868317
1,3,0.4,3,0.9749035683204536
1,3,0.4,7,-1.9136655784302676
1,10,0.2,2,-0.009750272606553034
1,10,0.2,3,0.615262149730576
1,10,0.2,7,-1.8466813642157196
1,10,0.4,2,-0.08945173978554233
1,10,0.4,3,0.6835021761710497
1,10,0.4,7,-2.1891735602572706
2,1,0.2,2,0.9429073462573673
2,1,0.2,3,0.11733378485191126
2,1,0.2,7,-3.8920465603286285
2,1,0.4,2,0.8961454740556889
2,1,0.4,3,-0.17409653013396853
2,1,0.4,7,-4.213403943142389
2,3,0.2,2,0.935256452583342
2,3,0.2,3,0.3252022796559948
2,3,0.2,7,-3.7050924061135904
2,3,0.4,2,0.9066013464250718
2,3,0.4,3,0.04157751183127012
2,3,0.4,7,-4.029234350991951
2,10,0.2,2,0.3909647353699506
2,10,0.2,3,-0.42716726548130013
2,10,0.2,7,-4.227335190440139
2,10,0.4,2,0.27104652936539264
2,10,0.4,3,-0.8508005156397422
2,10,0.4,7,-4.572419819448216
3,1,0.2,2,-0.6846901828460759
3,1,0.2,3,-2.5561712536577694
3,1,0.2,7,-5.501900962629814
3,1,0.4,2,-1.1191506308245565
3,1,0.4,3,-2.9917289005699184
3,1,0.4,7,-5.736344966470998
3,3,0.2,2,-0.6221340811850862
3,3,0.2,3,-2.3753643738534453
3,3,0.2,7,-5.414540291437476
3,3,0.4,2,-1.1221677790143714
3,3,0.4,3,-2.859386470729583
3,3,0.4,7,-5.659145836839805
3,10,0.2,2,-2.161691425324196
3,10,0.2,3,-3.5782434985198783
3,10,0.2,7,-5.861073401449919
3,10,0.4,2,-2.7099436052693724
3,10,0.4,3,-4.010057214355431
3,10,0.4,7,-6.082135862308753
