look_back,neighbors,test_size,hmax,R2_true_pos
1,1,0.2,2,0.9871757231513029
1,1,0.2,3,0.9864091074455303
1,1,0.2,7,0.9697990451940277
1,1,0.4,2,0.9931826613887432
1,1,0.4,3,0.993729705648177
1,1,0.4,7,0.965406688763833
1,3,0.2,2,0.9877377407571647
1,3,0.2,3,0.9876201214592243
1,3,0.2,7,0.9773638522767286
1,3,0.4,2,0.9912395688798389
1,3,0.4,3,0.9930508421655027
1,3,0.4,7,0.9799903830612887
1,10,0.2,2,-0.015758012366490437
1,10,0.2,3,0.02084913506096997
1,10,0.2,7,0.4707820408584791
1,10,0.4,2,-0.17689675650722414
1,10,0.4,3,-0.13418886224231774
1,10,0.4,7,0.5465684786111578
2,1,0.2,2,0.9838565318516859
2,1,0.2,3,0.9850299411388656
2,1,0.2,7,0.8713546385107542
2,1,0.4,2,0.9928498145967878
2,1,0.4,3,0.9932528195393502
2,1,0.4,7,0.8269793555086655
2,3,0.2,2,0.9828891929706247
2,3,0.2,3,0.9816447155476804
2,3,0.2,7,0.9323467416529957
2,3,0.4,2,0.9886835049019558
2,3,0.4,3,0.9828054679974919
2,3,0.4,7,0.9036935058738828
2,10,0.2,2,-0.04583050956700019
2,10,0.2,3,-0.2037781028400647
2,10,0.2,7,0.6589903878045807
2,10,0.4,2,-0.23864867953699598
2,10,0.4,3,-0.41345803301320316
2,10,0.4,7,0.628931189288827
3,1,0.2,2,0.9826154194344184
3,1,0.2,3,0.9826135257159765
3,1,0.2,7,0.5663910827589383
3,1,0.4,2,0.9908307422913639
3,1,0.4,3,0.9906871258799863
3,1,0.4,7,0.43240108360702334
3,3,0.2,2,0.9663992999869297
3,3,0.2,3,0.9420788563972379
3,3,0.2,7,0.6909872086970814
3,3,0.4,2,0.9583378477726672
3,3,0.4,3,0.9261352172410428
3,3,0.4,7,0.5708351572380805
3,10,0.2,2,-0.5071369694972481
3,10,0.2,3,-0.3052494921882847
3,10,0.2,7,0.3087956058979915
3,10,0.4,2,-0.6503258698148235
3,10,0.4,3,-0.14215979376955468
3,10,0.4,7,0.0515044311526186
