look_back,neighbors,test_size,hmax,R2_true_pos
1,1,0.2,2,0.9734021699287381
1,1,0.2,3,0.977980264180562
1,1,0.2,7,0.9804938155730821
1,1,0.4,2,0.9887991693301199
1,1,0.4,3,0.9908163710875107
1,1,0.4,7,0.9923688442341099
1,3,0.2,2,0.9773152418130269
1,3,0.2,3,0.9802625459976927
1,3,0.2,7,0.9826768438350474
1,3,0.4,2,0.9864475935435391
1,3,0.4,3,0.9897015354892137
1,3,0.4,7,0.98484933131608
1,10,0.2,2,-1.1750540819724828
1,10,0.2,3,-0.486471362163855
1,10,0.2,7,-0.44423576988946367
1,10,0.4,2,-1.6283547482387926
1,10,0.4,3,-0.7656705189570552
1,10,0.4,7,-0.6371022074625818
2,1,0.2,2,0.978835415486406
2,1,0.2,3,0.9776016704053858
2,1,0.2,7,0.9823350157543104
2,1,0.4,2,0.9906387834473037
2,1,0.4,3,0.9911198855914711
2,1,0.4,7,0.9922408225078295
2,3,0.2,2,0.9754992171468991
2,3,0.2,3,0.9767839475193099
2,3,0.2,7,0.9764450389577856
2,3,0.4,2,0.9877138240604926
2,3,0.4,3,0.9867128549735875
2,3,0.4,7,0.9712863970688919
2,10,0.2,2,-0.3869178097048187
2,10,0.2,3,-0.3503964578161718
2,10,0.2,7,-0.4733427351116286
2,10,0.4,2,-0.47899016119031534
2,10,0.4,3,-0.4686205406195296
2,10,0.4,7,-0.556389734279491
3,1,0.2,2,0.9740638031904852
3,1,0.2,3,0.9768895653963242
3,1,0.2,7,0.9819979845815422
3,1,0.4,2,0.989768059598691
3,1,0.4,3,0.9911596396375323
3,1,0.4,7,0.9899209098268968
3,3,0.2,2,0.9748291186417211
3,3,0.2,3,0.9793181072900714
3,3,0.2,7,0.9614417136269001
3,3,0.4,2,0.9814723317924803
3,3,0.4,3,0.9854520202013356
3,3,0.4,7,0.9554566196850777
3,10,0.2,2,-0.5406474988348993
3,10,0.2,3,-0.4041493676850665
3,10,0.2,7,-0.38081753154685094
3,10,0.4,2,-0.7493603183112887
3,10,0.4,3,-0.591975085010251
3,10,0.4,7,-0.3424477840371398
