look_back,neighbors,test_size,hmax,R2_true_pos
1,1,0.2,2,0.9820241011830949
1,1,0.2,3,0.9817918941971336
1,1,0.2,7,0.9829177992666644
1,1,0.4,2,0.9932658951799537
1,1,0.4,3,0.9936439226040513
1,1,0.4,7,0.9938668934063658
1,3,0.2,2,0.9828116277084493
1,3,0.2,3,0.9834631496368424
1,3,0.2,7,0.983058193825077
1,3,0.4,2,0.9925802825068417
1,3,0.4,3,0.9936706864665454
1,3,0.4,7,0.9882162706417051
1,10,0.2,2,-2.828019413599207
1,10,0.2,3,-1.371800235202162
1,10,0.2,7,-0.4828498942196997
1,10,0.4,2,-2.9111277883178333
1,10,0.4,3,-1.613395517422826
1,10,0.4,7,-0.6281961429941829
2,1,0.2,2,0.9791679628454659
2,1,0.2,3,0.9804524292932292
2,1,0.2,7,0.9839498197115535
2,1,0.4,2,0.9932319148665727
2,1,0.4,3,0.9932393791460209
2,1,0.4,7,0.9934160339324636
2,3,0.2,2,0.9792465005600037
2,3,0.2,3,0.9796548718385412
2,3,0.2,7,0.9784810139647052
2,3,0.4,2,0.9922974721519674
2,3,0.4,3,0.9935125626024787
2,3,0.4,7,0.9782062170904534
2,10,0.2,2,-0.7267193181297535
2,10,0.2,3,-0.40570438954601173
2,10,0.2,7,-0.26954400138603374
2,10,0.4,2,-0.977826139190797
2,10,0.4,3,-0.5149888702331242
2,10,0.4,7,-0.3091368539035584
3,1,0.2,2,0.980682295108739
3,1,0.2,3,0.9802902537829119
3,1,0.2,7,0.985787353739109
3,1,0.4,2,0.9925169207993483
3,1,0.4,3,0.9926591476005266
3,1,0.4,7,0.9918231669131227
3,3,0.2,2,0.9741374027981579
3,3,0.2,3,0.9749440490503755
3,3,0.2,7,0.9684139826559646
3,3,0.4,2,0.9920260763023988
3,3,0.4,3,0.9878013104125173
3,3,0.4,7,0.9671715726295493
3,10,0.2,2,-0.49448384372109366
3,10,0.2,3,-0.3821471075486571
3,10,0.2,7,-0.033183879953322615
3,10,0.4,2,-0.5488885314130405
3,10,0.4,3,-0.5398126254012527
3,10,0.4,7,0.011155643456166042
